대학구분,location,name,branch,major,day,대학자체대계열,학위과정
대학,광주,조선대학교,본교,기계공학과,주간,공학계열,학사
대학,경기,단국대학교,본교,기계공학과,주간,공학계열,학사
대학,전남,순천대학교,본교,기계공학과,야간,공학계열,석사
대학,경기,성균관대학교,본교,기계공학부,주간,공학계열,학사
대학,경남,경상국립대학교,본교,기계공학전공,주간,공학계열,학사
대학,전북,전주대학교,본교,건축학과,주간,공학계열,학사
대학,서울,서울대학교,본교,건축학과,주간,공학계열,학사
대학,충남,순천향대학교,본교,건축학과,주간,공학계열,석사
대학,충북,서원대학교,본교,건축학과,야간,공학계열,석사
대학,경남,창원대학교,본교,건축학부,주간,공학계열,학사
대학,경남,경남대학교,본교,건축학부,주간,공학계열,학사
대학,서울,숭실대학교,본교,건축학부,주간,공학계열,학사
대학,경남,경남대학교,본교,건축학전공(5년),주간,공학계열,학사
대학,경기,한국공학대학교,본교,기계설계공학과,주간,공학계열,석사
대학,전북,전북대학교,본교,기계설계공학부,주간,공학계열,학사
대학,경남,경상국립대학교,본교,기계시스템공학과,주간,공학계열,학사
대학,서울,서울시립대학교,본교,기계정보공학과,주간,공학계열,학사
대학,서울,서울시립대학교,본교,교통공학과,주간,공학계열,학사
대학,전남,순천대학교,본교,고분자공학과,야간,공학계열,석사
대학,부산,부경대학교,본교,고분자공학전공,주간,공학계열,학사
대학,경기,단국대학교,본교,고분자시스템공학부,주간,공학계열,학사
대학,경기,단국대학교,본교,공과대학,주간,공학계열,학사
대학,부산,부경대학교,본교,공업화학전공,주간,공학계열,학사
대학,대전,목원대학교,본교,도시공학과,주간,공학계열,학사
대학,충북,충북대학교,본교,도시공학과,주간,공학계열,학사
대학,대전,한밭대학교,본교,도시공학과,야간,공학계열,석사
대학,서울,한양대학교,본교,건설관리학과,야간,공학계열,석사
대학,대전,한밭대학교,본교,건설환경공학과,주간,공학계열,학사
대학,경기,한양대학교(ERICA),분교,건설환경공학과,주간,공학계열,학사
대학,서울,연세대학교,본교,건축공학과,주간,공학계열,학사
대학,서울,광운대학교,본교,건축공학과,주간,공학계열,학사
대학,강원,강원대학교,본교,건축공학과,야간,공학계열,석사
대학,경남,경상국립대학교,본교,건축공학전공,야간,공학계열,석사
대학,경기,한국공학대학교,본교,생명화학공학과,주간,공학계열,석사
대학,경기,성균관대학교,본교,시스템경영공학과,주간,공학계열,학사
대학,광주,전남대학교,본교,생물공학과,주간,공학계열,학사
대학,제주,제주대학교,본교,식품생명공학과,주간,공학계열,학사
대학,서울,중앙대학교,본교,사회기반시스템공학부,주간,공학계열,학사
대학,대구,경북대학교,본교,섬유시스템공학과,주간,공학계열,학사
대학,경기,대진대학교,본교,산업경영공학과,주간,공학계열,학사
대학,서울,정석대학,본교,산업공학과,야간,공학계열,학사
대학,서울,서울대학교,본교,산업공학과,주간,공학계열,학사
대학,경북,금오공과대학교,본교,산업공학부,주간,공학계열,학사
대학,전남,순천대학교,본교,멀티미디어공학과,야간,공학계열,석사
대학,경기,성균관대학교,본교,소프트웨어학과,주간,공학계열,학사
대학,대전,충남대학교,본교,메카트로닉스공학과,주간,공학계열,학사
대학,대전,한밭대학교,본교,정보통신공학과,주간,공학계열,학사
대학,부산,경성대학교,본교,정보통신공학과,주간,공학계열,학사
대학,경북,안동대학교,본교,정보통신공학과,주간,공학계열,학사
대학,경기,수원대학교,본교,정보통신공학과,주간,공학계열,석사
대학,강원,강릉원주대학교,제2캠퍼스,정보통신공학과,야간,공학계열,석사
대학,충북,충북대학교,본교,정보통신공학부,주간,공학계열,학사
대학,강원,강릉원주대학교,본교,재료공학과,야간,공학계열,석사
대학,경기,가톨릭대학교,본교,정보통신전자공학부,주간,공학계열,학사
대학,충남,공주대학교,본교,의료정보학과,주간,자연과학계열,학사
대학,광주,전남대학교,본교,전기공학과,주간,공학계열,학사
대학,부산,경성대학교,본교,전기공학과,주간,공학계열,학사
대학,강원,강원대학교,본교,전기공학과,야간,공학계열,석사
대학,경기,대진대학교,본교,신소재공학과,주간,공학계열,학사
대학,경기,한국공학대학교,본교,신소재공학과,주간,공학계열,학사
대학,부산,경성대학교,본교,신소재공학과,주간,공학계열,학사
대학,전북,군산대학교,본교,전기전자제어공학과,야간,공학계열,석사
대학,경남,경상국립대학교,본교,전기전자통신교육전공,야간,공학계열,석사
대학,충남,선문대학교,본교,전자공학과,주간,공학계열,학사
대학,부산,부산대학교,본교,전자공학과,주간,공학계열,학사
대학,대전,한밭대학교,본교,전자공학과,야간,공학계열,석사
대학,경북,금오공과대학교,본교,전자공학부,주간,공학계열,학사
대학,경북,대구대학교,본교,전자전기공학부,주간,공학계열,학사
대학,서울,한국방송통신대학교,본교,정보과학과,원격,자연과학계열,석사
대학,제주,제주대학교,본교,에너지공학과,야간,공학계열,석사
대학,강원,강릉원주대학교,제2캠퍼스,자동차공학과,야간,공학계열,석사
대학,서울,동국대학교,본교,기계로봇에너지공학과,주간,공학계열,학사
대학,제주,제주대학교,본교,통신공학과,주간,공학계열,학사
대학,서울,연세대학교,본교,화공생명공학부,주간,공학계열,학사
대학,서울,광운대학교,본교,화학공학과,주간,공학계열,학사
대학,강원,강원대학교,본교,화학공학과,야간,공학계열,석사
대학,경북,대구대학교,본교,화학공학과,주간,공학계열,석사
대학,전남,목포대학교,본교,조경학전공,야간,공학계열,석사
대학,전남,목포해양대학교,본교,조선해양공학과,주간,공학계열,학사
대학,울산,울산대학교,본교,조선해양공학부,주간,공학계열,학사
대학,경북,금오공과대학교,본교,컴퓨터공학과,주간,공학계열,학사
대학,경기,명지대학교,본교,컴퓨터공학과,주간,공학계열,학사
대학,제주,제주대학교,본교,환경공학과,주간,공학계열,학사
대학,서울,광운대학교,본교,환경공학과,주간,공학계열,학사
대학,전남,순천대학교,본교,환경공학과,주간,공학계열,석사
대학,경북,대구대학교,본교,환경공학과,주간,공학계열,석사
대학,제주,제주대학교,본교,컴퓨터교육과,주간,자연과학계열,학사
대학,서울,성균관대학교,본교,컴퓨터교육과,주간,인문ㆍ사회계열,학사
대학,경북,안동대학교,본교,컴퓨터교육전공,야간,인문ㆍ사회계열,석사
대학,전남,목포해양대학교,본교,환경생명공학과,주간,공학계열,학사
대학,전남,전남대학교,제2캠퍼스,환경시스템공학과,주간,공학계열,학사
대학,전북,군산대학교,본교,컴퓨터정보공학과,야간,공학계열,석사
대학,전북,군산대학교,본교,컴퓨터정보교육전공,야간,인문ㆍ사회계열,석사
대학,전북,전주대학교,본교,소방안전공학과,주간,공학계열,박사
대학,강원,한라대학교,본교,토목공학전공,야간,공학계열,석사
대학,충북,유원대학교,본교,토목공학전공,야간,공학계열,석사
대학,경북,경운대학교,본교,IT에너지학과,주간,공학계열,석사
대학,서울,고려대학교,본교,사이버국방학과,주간,공학계열,학사
대학,대구,경북대학교,본교,에너지공학부 신재생에너지전공,주간,공학계열,학사
대학,서울,한양대학교,본교,미래자동차공학과,주간,공학계열,학사
대학,전북,전북대학교,본교,기계시스템공학부(응용기계공학전공),주간,공학계열,학사
대학,서울,서울과학기술대학교,본교,건축학부건축공학전공,주간,공학계열,학사
대학,대전,한밭대학교,본교,설비공학과,주간,공학계열,학사
대학,경기,한양대학교(ERICA),분교,교통물류공학과,주간,공학계열,학사
대학,대구,경북대학교,본교,전자공학부모바일공학전공,주간,공학계열,학사
대학,전남,목포대학교,본교,기계공학과,주간,공학계열,학사
대학,서울,연세대학교,본교,기계공학부,주간,공학계열,학사
대학,서울,중앙대학교,본교,기계공학부,주간,공학계열,학사
대학,경남,경남대학교,본교,기계공학부,주간,공학계열,학사
대학,경북,안동대학교,본교,기계교육과,주간,공학계열,학사
대학,경남,인제대학교,본교,건축학과,주간,공학계열,학사
대학,경남,경상국립대학교,본교,건축학과,주간,공학계열,학사
대학,전남,목포대학교,본교,건축학과,주간,공학계열,학사
대학,대전,충남대학교,본교,건축학과(5),주간,공학계열,학사
대학,광주,전남대학교,본교,건축학부,주간,공학계열,학사
대학,서울,한양대학교,본교,건축학부,주간,공학계열,학사
대학,서울,동국대학교,본교,건축학전공,주간,자연과학계열,학사
대학,경기,한국공학대학교,본교,기계설계공학과,야간,공학계열,석사
대학,충남,순천향대학교,본교,디스플레이신소재공학과,주간,공학계열,학사
대학,충북,한국교원대학교,본교,기술교육과,주간,공학계열,학사
대학,전북,전북대학교,본교,고분자나노공학과,주간,공학계열,학사
대학,서울,서울시립대학교,본교,공간정보공학과,주간,공학계열,학사
대학,경기,명지대학교,본교,공과대학,주간,공학계열,학사
대학,경북,포항공과대학교,본교,단일계열,주간,공학계열,학사
대학,충북,우석대학교,본교,건설공학과,주간,공학계열,석사
대학,대전,목원대학교,본교,도시공학과,주간,공학계열,석사
대학,서울,동국대학교,본교,건설환경공학과,주간,공학계열,학사
대학,서울,숭실대학교,본교,글로벌미디어학부,주간,공학계열,학사
대학,경북,안동대학교,본교,건축공학과,주간,공학계열,학사
대학,충남,남서울대학교,본교,건축공학과,주간,공학계열,석사
대학,제주,제주대학교,본교,건축공학과,야간,공학계열,석사
대학,광주,전남대학교,본교,건축공학전공,주간,공학계열,학사
대학,경기,한양대학교(ERICA),분교,건축공학전공,주간,공학계열,학사
대학,서울,서울과학기술대학교,본교,기계・자동차공학과,주간,공학계열,학사
대학,전북,전북대학교,본교,바이오메디컬공학부,주간,공학계열,학사
대학,대전,충남대학교,본교,바이오응용화학과,야간,공학계열,석사
대학,서울,연세대학교,본교,사회환경시스템공학부,주간,공학계열,학사
대학,경북,포항공과대학교,본교,산업경영공학과,주간,공학계열,학사
대학,대전,한밭대학교,본교,산업경영공학과,주간,공학계열,학사
대학,울산,울산대학교,본교,산업경영공학전공,주간,공학계열,학사
대학,경남,경남대학교,본교,소방방재공학과,주간,공학계열,학사
대학,강원,강원대학교,제2캠퍼스,소방방재학부,주간,공학계열,학사
대학,서울,한양대학교,본교,산업공학과,주간,공학계열,학사
대학,강원,강원대학교,본교,산업공학과,야간,공학계열,석사
대학,광주,전남대학교,본교,산업공학과,야간,공학계열,석사
대학,강원,강릉원주대학교,제2캠퍼스,멀티미디어공학과,주간,공학계열,학사
대학,서울,서경대학교,본교,소프트웨어학과,주간,자연과학계열,학사
대학,경남,경상국립대학교,본교,소프트웨어학전공,야간,공학계열,석사
대학,경북,경운대학교,본교,멀티미디어학과,야간,예ㆍ체능계열,석사
대학,경남,경상국립대학교,본교,산업시스템공학전공,야간,공학계열,석사
대학,전북,전북대학교,본교,생명공학부,주간,자연과학계열,학사
대학,강원,강릉원주대학교,제2캠퍼스,전기공학과,주간,공학계열,학사
대학,충남,순천향대학교,본교,전기공학과,주간,공학계열,학사
대학,대구,경북대학교,본교,전기공학과,주간,공학계열,학사
대학,대전,충남대학교,본교,전기공학과,야간,공학계열,석사
대학,서울,연세대학교,본교,전기전자공학전공,주간,공학계열,학사
대학,광주,조선대학교,본교,신소재공학과,주간,공학계열,학사
대학,경기,한국공학대학교,본교,신소재공학과,주간,공학계열,석사
대학,전남,목포대학교,본교,신소재공학과,주간,공학계열,석사
대학,강원,강릉원주대학교,본교,신소재공학과,야간,공학계열,석사
대학,경북,영남대학교,본교,신소재공학부,주간,공학계열,학사
대학,전남,목포대학교,본교,신소재공학전공,야간,공학계열,석사
대학,경북,대구가톨릭대학교,본교,전자계산교육전공,계절제,자연과학계열,석사
대학,경북,안동대학교,본교,전자공학과,주간,공학계열,학사
대학,경기,단국대학교,본교,전자전기공학부,주간,공학계열,학사
대학,서울,동국대학교,본교,전자전기공학부,주간,공학계열,학사
대학,경기,경희대학교,본교,원자력공학과,주간,공학계열,학사
대학,충북,충북대학교,본교,안전공학과,주간,공학계열,학사
대학,서울,광운대학교,본교,전자통신공학과,주간,공학계열,학사
대학,경기,명지대학교,본교,토목환경공학과,주간,공학계열,학사
대학,경남,부산대학교,본교,바이오소재과학과,주간,자연과학계열,학사
대학,경기,경희대학교,본교,화학공학과,주간,공학계열,학사
대학,경북,영남대학교,본교,화학공학부,주간,공학계열,학사
대학,울산,울산대학교,본교,조선해양공학전공,주간,공학계열,학사
대학,경남,경상국립대학교,본교,조선해양공학전공,야간,공학계열,석사
대학,경북,포항공과대학교,본교,컴퓨터공학과,주간,공학계열,학사
대학,전남,순천대학교,본교,컴퓨터공학과,주간,공학계열,학사
대학,대전,한밭대학교,본교,컴퓨터공학과,주간,공학계열,학사
대학,서울,한성대학교,본교,컴퓨터공학과,주간,공학계열,석사
대학,제주,제주대학교,본교,컴퓨터공학과,야간,공학계열,석사
대학,서울,서울시립대학교,본교,컴퓨터과학부,주간,공학계열,학사
대학,전남,목포대학교,본교,환경공학과,주간,공학계열,학사
대학,대전,한밭대학교,본교,환경공학과,야간,공학계열,석사
대학,전남,순천대학교,본교,환경공학과,야간,공학계열,석사
대학,부산,부산교육대학교,본교,컴퓨터교육과,주간,자연과학계열,학사
대학,전북,전주교육대학교,본교,컴퓨터교육과(심화전공),주간,자연과학계열,학사
대학,경기,수원대학교,본교,컴퓨터교육전공,야간,인문ㆍ사회계열,석사
대학,강원,강원대학교,본교,컴퓨터교육전공,계절제,자연과학계열,석사
대학,강원,가톨릭관동대학교,본교,해양공학과,주간,공학계열,석사
대학,경북,금오공과대학교,본교,테크노기계공학과학연산협동과정,주간,공학계열,석사
대학,제주,제주대학교,본교,토목공학과,주간,공학계열,학사
대학,경남,경상국립대학교,본교,토목공학전공,야간,공학계열,석사
대학,전북,전북대학교,본교,바이오메디컬공학부(헬스케어정보공학전공),주간,공학계열,학사
대학,전북,전북대학교,본교,화학공학부(생명화학공학전공),주간,공학계열,학사
대학,경기,한국공학대학교,본교,컴퓨터융합공학과,야간,공학계열,석사
대학,대구,경북대학교,본교,에너지공학부 에너지변환전공,주간,공학계열,학사
대학,서울,한양대학교,본교,유기나노공학과,주간,공학계열,학사
대학,경남,부산대학교,본교,나노메카트로닉스공학과,주간,공학계열,학사
대학,서울,광운대학교,본교,산학협력단,주간,공학계열,학사
대학,서울,서울과학기술대학교,본교,기계시스템디자인공학과,주간,공학계열,학사
대학,경북,대구대학교,본교,전자전기공학부(전자공학전공),주간,공학계열,학사
대학,경기,성균관대학교,본교,반도체시스템공학과,주간,공학계열,학사
대학,충남,순천향대학교,본교,의약공학과,주간,자연과학계열,학사
대학,경북,동양대학교,본교,철도전기통신공학과,야간,공학계열,석사
대학,대전,충남대학교,본교,화학공학교육과,주간,공학계열,학사
대학,대전,한밭대학교,본교,산업경영공학과,야간,공학계열,석사
대학,광주,전남대학교,본교,전산교육전공,계절제,자연과학계열,석사
대학,대전,목원대학교,본교,컴퓨터공학과,야간,공학계열,석사
대학,충남,한서대학교,본교,토목공학과,주간,공학계열,석사
대학,서울,경희대학교,본교,정보디스플레이학과,주간,자연과학계열,학사
대학,서울,한양대학교,본교,에너지공학과,주간,공학계열,학사
대학,경남,경상국립대학교,본교,기계공학전공,야간,공학계열,석사
대학,충남,호서대학교,본교,전기공학과,주간,공학계열,학사
대학,서울,고려대학교,본교,신소재공학부,주간,공학계열,학사
대학,광주,광주대학교,본교,토목공학과,주간,공학계열,학사
대학,경남,경상국립대학교,본교,제어계측공학전공,야간,공학계열,석사
대학,광주,조선대학교,본교,원자력공학과,주간,공학계열,학사
대학,충북,한국교통대학교,본교,생명공학과,주간,공학계열,석사
대학,강원,강원대학교,본교,재료금속공학과,주간,공학계열,석사
대학,경북,금오공과대학교,본교,테크노경영학과,야간,공학계열,석사
대학,경기,협성대학교,본교,건축공학과,주간,공학계열,학사
대학,부산,동명대학교,본교,실내건축학과,주간,공학계열,학사
대학,경북,안동대학교,본교,환경공학과,주간,공학계열,학사
대학,부산,동의대학교,본교,조선해양공학과,주간,공학계열,학사
대학,대전,한밭대학교,본교,화학공학과,야간,공학계열,석사
대학,경남,경상국립대학교,본교,기계시스템공학과,야간,공학계열,석사
대학,서울,서울과학기술대학교,본교,안전공학과,주간,공학계열,학사
대학,경남,경상국립대학교,본교,해양토목공학과,주간,공학계열,학사
대학,부산,동의대학교,본교,조선해양공학과,주간,공학계열,석사
대학,충북,충북대학교,본교,전기공학부,주간,공학계열,학사
대학,경북,금오공과대학교,본교,신소재공학과,야간,공학계열,석사
대학,제주,제주대학교,본교,건축학부,주간,공학계열,학사
대학,광주,조선대학교,본교,산업공학과,주간,공학계열,학사
대학,전남,목포대학교,본교,조경학과,주간,공학계열,석사
대학,대전,한밭대학교,본교,건축설비공학과,주간,공학계열,석사
대학,강원,강릉원주대학교,본교,신소재금속공학과,주간,공학계열,학사
대학,대전,한국과학기술원,본교,건설및환경공학과,주간,공학계열,학사
대학,경남,창원대학교,본교,건축공학전공,주간,공학계열,학사
대학,충남,호서대학교,본교,환경공학과,주간,공학계열,학사
대학,경기,명지대학교,본교,환경에너지공학과,주간,공학계열,학사
대학,충남,호서대학교,본교,시스템제어공학과,주간,공학계열,학사
대학,경기,명지대학교,본교,교통공학과,주간,공학계열,학사
대학,전북,전주대학교,본교,탄소나노부품소재공학과,야간,공학계열,석사
대학,전남,목포대학교,본교,조경학과,주간,공학계열,학사
대학,충남,공주대학교,본교,컴퓨터교육전공,계절제,자연과학계열,석사
대학,서울,서경대학교,본교,도시공학과,주간,공학계열,학사
대학,경기,한국공학대학교,본교,기계공학과,주간,공학계열,석사
대학,경북,금오공과대학교,본교,건축학부,주간,공학계열,학사
대학,경북,대구대학교,본교,화학공학과,주간,공학계열,학사
대학,전북,전북대학교,본교,도시공학과,주간,공학계열,학사
대학,강원,강원대학교,본교,컴퓨터정보통신공학과,야간,공학계열,석사
대학,강원,강원대학교,본교,기계메카트로닉스공학과,야간,공학계열,석사
대학,전남,순천대학교,본교,전기공학과,주간,공학계열,석사
대학,경북,금오공과대학교,본교,기계공학과,주간,공학계열,학사
대학,전북,전북대학교,본교,화학공학부(에너지화학공학전공),주간,공학계열,학사
대학,경남,경상국립대학교,본교,토목공학과,주간,공학계열,학사
대학,경기,경희대학교,본교,식품생명공학과,주간,자연과학계열,학사
대학,서울,서울대학교,본교,컴퓨터공학부,주간,공학계열,학사
대학,강원,강원대학교,본교,생명건강공학과,주간,자연과학계열,학사
대학,전북,군산대학교,본교,정보통신공학과,야간,공학계열,석사
대학,경기,명지대학교,본교,환경생명공학과,주간,공학계열,학사
대학,경북,대구한의대학교,본교,건축・소방방재환경학과,주간,자연과학계열,석사
대학,충남,호서대학교,본교,화학공학과,주간,공학계열,학사
대학,충북,충북대학교,본교,기계공학부,주간,공학계열,학사
대학,대전,한밭대학교,본교,전기공학과,야간,공학계열,석사
대학,전남,순천대학교,본교,조경학과,주간,자연과학계열,석사
대학,경남,경상국립대학교,본교,환경공학전공,야간,공학계열,석사
대학,경기,명지대학교,본교,전기공학과,주간,공학계열,학사
대학,강원,강원대학교,제2캠퍼스,전기공학전공,주간,공학계열,학사
대학,경북,대구가톨릭대학교,본교,건축학과,주간,공학계열,석사
대학,강원,강원대학교,본교,전기공학과,주간,공학계열,석사
대학,제주,제주대학교,본교,환경공학과,야간,공학계열,석사
대학,서울,한양대학교,본교,건설환경공학과,주간,공학계열,학사
대학,부산,동아대학교,본교,전기공학과,주간,공학계열,학사
대학,서울,한국방송통신대학교,본교,컴퓨터과학과,주간,자연과학계열,학사
대학,서울,한양대학교,본교,기계공학부,주간,공학계열,학사
대학,대전,충남대학교,본교,건축공학과,야간,공학계열,석사
대학,부산,동아대학교,본교,전자공학과,주간,공학계열,학사
대학,제주,제주대학교,본교,전자공학과,주간,공학계열,학사
대학,경기,한국공학대학교,본교,전기공학과,야간,공학계열,석사
대학,서울,한성대학교,본교,정보컴퓨터공학과,주간,공학계열,박사
대학,경북,대구대학교,본교,조경학과,주간,공학계열,학사
대학,전남,순천대학교,본교,식품산업학과,야간,자연과학계열,석사
대학,서울,중앙대학교,본교,화학신소재공학부,주간,공학계열,학사
대학,대구,경북대학교,본교,고분자공학과,주간,공학계열,학사
대학,부산,동명대학교,본교,건축공학과,주간,공학계열,학사
대학,경남,창원대학교,본교,산업시스템공학과,주간,공학계열,학사
대학,전남,순천대학교,본교,천연화장품과학과,야간,자연과학계열,석사
대학,인천,인하대학교,본교,건축공학전공,주간,공학계열,학사
대학,전남,순천대학교,본교,전자공학과,야간,공학계열,석사
대학,충북,충북대학교,본교,환경공학과,주간,공학계열,학사
대학,경남,경상국립대학교,본교,멀티미디어학전공,야간,공학계열,석사
대학,서울,한양대학교,본교,전기공학전공,주간,공학계열,학사
대학,충남,순천향대학교,본교,정보통신공학과,주간,공학계열,학사
대학,서울,연세대학교,본교,도시공학과,주간,공학계열,학사
대학,경기,명지대학교,본교,전자공학과,주간,공학계열,학사
대학,강원,강릉원주대학교,본교,전자공학과,주간,공학계열,학사
대학,광주,전남대학교,본교,전기전자통신교육전공,계절제,공학계열,석사
대학,서울,서울시립대학교,본교,환경공학부,주간,공학계열,학사
대학,전남,순천대학교,본교,고분자공학과,주간,공학계열,석사
대학,전북,전북대학교,본교,기계시스템공학부(정밀기계공학전공),주간,공학계열,학사
대학,서울,광운대학교,본교,건축학과,주간,공학계열,학사
대학,경기,동국대학교,본교,식품생명공학과,주간,공학계열,학사
대학,충남,순천향대학교,본교,의료IT공학과,주간,공학계열,학사
대학,전남,목포대학교,본교,전기공학전공,야간,공학계열,석사
대학,전남,순천대학교,본교,건축학부,주간,공학계열,학사
대학,경기,단국대학교,본교,토목환경공학과,주간,공학계열,학사
대학,경남,창원대학교,본교,정보통신공학과,주간,공학계열,학사
대학,충남,순천향대학교,본교,나노화학공학과,주간,공학계열,학사
대학,강원,강릉원주대학교,본교,세라믹신소재공학과,주간,공학계열,학사
대학,경기,한국공학대학교,본교,기계제조공학과,야간,공학계열,석사
대학,경기,경희대학교,본교,식물・환경신소재공학과,주간,자연과학계열,학사
대학,전남,순천대학교,본교,정보통신공학과,야간,공학계열,석사
대학,충북,유원대학교,본교,화장품과학전공,야간,공학계열,석사
대학,경기,한국공학대학교,본교,신소재공학과,야간,공학계열,석사
대학,서울,한양대학교,본교,도시공학과,주간,공학계열,학사
대학,충남,호서대학교,본교,소방방재학과,주간,공학계열,학사
대학,전북,우석대학교,본교,정보보안학과,주간,자연과학계열,학사
대학,부산,동명대학교,본교,건축학과,주간,공학계열,학사
대학,경북,대구대학교,본교,건축공학과,주간,공학계열,학사
대학,서울,서울시립대학교,본교,토목공학과,야간,공학계열,석사
대학,대전,한국과학기술원,본교,신소재공학과,주간,공학계열,학사
대학,경기,한국항공대학교,본교,항공우주및기계공학부,주간,공학계열,학사
대학,부산,부산가톨릭대학교,본교,치기공학과,주간,자연과학계열,학사
대학,서울,숭실대학교,본교,정보보안학과,야간,공학계열,석사
대학,경남,부산대학교,본교,IT응용공학과,주간,공학계열,학사
대학,강원,강원대학교,제2캠퍼스,소방방재공학전공,주간,공학계열,학사
대학,부산,부경대학교,본교,기계공학부,주간,공학계열,학사
대학,충북,한국교원대학교,본교,정보영재교육전공,계절제,공학계열,석사
대학,제주,제주대학교,본교,컴퓨터교육전공,야간,자연과학계열,석사
대학,부산,부경대학교,본교,전기공학전공,주간,공학계열,학사
대학,광주,조선대학교,본교,전기공학과,주간,공학계열,학사
대학,서울,한양대학교,본교,융합전자공학부,주간,공학계열,학사
대학,대구,경북대학교,본교,바이오섬유소재학과,주간,자연과학계열,학사
대학,충북,우석대학교,본교,컴퓨터공학과,주간,공학계열,석사
대학,충북,한국교원대학교,본교,컴퓨터교육과,주간,공학계열,학사
대학,충남,순천향대학교,본교,기계공학과,주간,공학계열,학사
대학,경기,경희대학교,본교,기계공학과,주간,공학계열,학사
대학,경기,수원대학교,본교,산업정보공학과,주간,공학계열,석사
대학,전북,전북대학교,본교,산업정보시스템공학과,주간,공학계열,학사
대학,대구,경북대학교,본교,에너지공학부,주간,공학계열,학사
대학,충남,공주대학교,본교,컴퓨터교육학과,주간,자연과학계열,박사
대학,강원,강릉원주대학교,제2캠퍼스,전기공학과,야간,공학계열,석사
대학,대전,대전대학교,본교,소방방재학과,주간,공학계열,석사
대학,서울,숭실대학교,본교,컴퓨터학부,주간,공학계열,학사
대학,대전,한국과학기술원,본교,생명화학공학과,주간,공학계열,학사
대학,서울,광운대학교,본교,교양학부(공학계열),주간,공학계열,학사
대학,전남,순천대학교,본교,환경공학과,주간,공학계열,학사
대학,전북,전북대학교,본교,건축공학과,주간,공학계열,학사
대학,서울,광운대학교,본교,전기공학과,주간,공학계열,학사
대학,울산,울산대학교,본교,건설환경공학부,주간,공학계열,학사
대학,경북,안동대학교,본교,기계교육전공,야간,인문ㆍ사회계열,석사
대학,울산,울산대학교,본교,의공학전공,주간,공학계열,학사
대학,서울,서울시립대학교,본교,화학공학과,야간,공학계열,석사
대학,충남,선문대학교,본교,전자공학과,주간,공학계열,석사
대학,대전,충남대학교,본교,전자공학과,주간,공학계열,학사
대학,부산,부경대학교,본교,화학공학과,주간,공학계열,학사
대학,제주,제주대학교,본교,통신공학과,야간,공학계열,석사
대학,전북,군산대학교,본교,해양산업공학과,야간,공학계열,석사
대학,서울,동국대학교,본교,건축공학부,주간,공학계열,학사
대학,서울,한국예술종합학교,본교,건축과,주간,예ㆍ체능계열,학사
대학,충북,충북대학교,본교,컴퓨터공학과,주간,공학계열,학사
대학,충남,한국기술교육대학교,본교,메카트로닉스공학부,주간,공학계열,학사
대학,강원,강원대학교,본교,건축디자인학과,주간,공학계열,석사
대학,경북,한동대학교,본교,전산전자공학부,주간,공학계열,학사
대학,서울,세종대학교,본교,건설환경공학과,주간,공학계열,학사
대학,서울,연세대학교,본교,전기전자공학부,주간,공학계열,학사
대학,충남,한서대학교,본교,화학공학과,주간,공학계열,석사
대학,경북,금오공과대학교,본교,기계설계공학과,주간,공학계열,학사
대학,강원,강원대학교,본교,소방방재공학과,주간,공학계열,석사
대학,전북,전북대학교,본교,조경학과,주간,자연과학계열,학사
대학,전남,목포대학교,본교,도서해양문화학협동과정,주간,인문ㆍ사회계열,석사
대학,강원,강원대학교,제2캠퍼스,재난관리공학전공,주간,공학계열,학사
대학,강원,강릉원주대학교,제2캠퍼스,기계의용공학과,야간,공학계열,석사
대학,서울,서울시립대학교,본교,신소재공학과,주간,공학계열,학사
대학,경남,부산대학교,본교,조경학과,주간,공학계열,학사
대학,강원,가톨릭관동대학교,본교,컴퓨터교육과,주간,자연과학계열,학사
대학,제주,제주대학교,본교,생명공학부,주간,자연과학계열,학사
대학,대전,한밭대학교,본교,응용소재공학과,야간,공학계열,석사
대학,대전,한남대학교,본교,멀티미디어학부,주간,공학계열,학사
대학,대전,한밭대학교,본교,도시공학과,주간,공학계열,학사
대학,대전,충남대학교,본교,토목공학과,야간,공학계열,석사
대학,서울,중앙대학교,본교,건축학부,주간,공학계열,학사
대학,전남,순천대학교,본교,컴퓨터교육정보학과,주간,자연과학계열,석사
대학,전남,목포대학교,본교,정보전자공학과,주간,공학계열,학사
대학,경기,협성대학교,본교,컴퓨터공학과,주간,공학계열,학사
대학,대전,목원대학교,본교,도시공학과,야간,공학계열,석사
대학,전남,목포해양대학교,본교,기관시스템공학과,야간,공학계열,석사
대학,경북,포항공과대학교,본교,신소재공학과,주간,공학계열,학사
대학,경남,경상국립대학교,본교,나노신소재공학전공,야간,공학계열,석사
대학,전남,목포해양대학교,본교,해상운송시스템학과,야간,공학계열,석사
대학,경기,한신대학교,본교,디지털문화콘텐츠전공,주간,인문ㆍ사회계열,석사
대학,경남,경상국립대학교,본교,정보통신학전공,야간,공학계열,석사
대학,부산,경성대학교,본교,환경공학과,주간,공학계열,학사
대학,전남,목포대학교,본교,정보보호학과,주간,공학계열,학사
대학,부산,부경대학교,본교,냉동공조공학전공,주간,공학계열,학사
대학,대전,충남대학교,본교,전기공학과,주간,공학계열,학사
대학,울산,울산대학교,본교,첨단소재공학부,주간,공학계열,학사
대학,전북,군산대학교,본교,건축공학과,야간,공학계열,석사
